Ticker,Beta,Code,CoName,S17Nm,S33Nm,BetaScore
9434.T,0.28664467252760556,9434,ソフトバンク,情報通信・サービスその他,情報･通信業,-1.2223795266033197
9001.T,0.28374721671061015,9001,東武鉄道,運輸・物流,陸運業,-1.2301865690133975
3861.T,0.2746912655405413,3861,王子ホールディングス,素材・化学,パルプ・紙,-1.254587353464922
9432.T,0.2714829610344208,9432,ＮＴＴ,情報通信・サービスその他,情報･通信業,-1.2632319613297969
9064.T,0.2695240644114477,9064,ヤマトホールディングス,運輸・物流,陸運業,-1.2685101053217793
9008.T,0.2646503718965527,9008,京王電鉄,運輸・物流,陸運業,-1.2816420136443434
9433.T,0.2570479433438016,9433,ＫＤＤＩ,情報通信・サービスその他,情報･通信業,-1.3021263577999207
2501.T,0.2543618188431431,2501,サッポロホールディングス,食品,食料品,-1.3093639790855962
9735.T,0.24971692453432143,9735,セコム,情報通信・サービスその他,サービス業,-1.3218794026674139
4452.T,0.23181194725417006,4452,花王,素材・化学,化学,-1.3701234228722061
8252.T,0.22647848691871683,8252,丸井グループ,小売,小売業,-1.3844941514220996
9007.T,0.21884403581747439,9007,小田急電鉄,運輸・物流,陸運業,-1.405064778651498
2502.T,0.20841135581044531,2502,アサヒグループホールディングス,食品,食料品,-1.4331750865940385
4661.T,0.195115512634444,4661,オリエンタルランド,情報通信・サービスその他,サービス業,-1.4690000372089627
9005.T,0.19102811418162233,9005,東急,運輸・物流,陸運業,-1.480013317508489
2503.T,0.183813345944236,2503,キリンホールディングス,食品,食料品,-1.4994531313195467
4151.T,0.18306525596066792,4151,協和キリン,医薬品,医薬品,-1.501468820461039
9020.T,0.1605881352903113,9020,東日本旅客鉄道,運輸・物流,陸運業,-1.5620322407211886
8267.T,0.15760964613679984,8267,イオン,小売,小売業,-1.5700576231974375
9021.T,0.15702445830396453,9021,西日本旅客鉄道,運輸・物流,陸運業,-1.571634381055835
2269.T,0.09393491034019764,2269,明治ホールディングス,食品,食料品,-1.7416258520893833
2002.T,0.09373521208475814,2002,日清製粉グループ本社,食品,食料品,-1.7421639285426254
2871.T,0.07744196556039318,2871,ニチレイ,食品,食料品,-1.786065224937707
2282.T,0.06570000547907054,2282,日本ハム,食品,食料品,-1.817703319225331
9843.T,0.04225244051858137,9843,ニトリホールディングス,小売,小売業,-1.8808815506191805
